job-href,job,content,types,salary,business_trip
https://www.104.com.tw/job/8mep6?jobsource=joblist_search,軟體工程師,"1.視窗程式開發
2.軟體系統維護
3.開發文件撰寫
4.協助設備相關測試
5.主管交辦事項,不拘,不拘,不拘","軟體工程師
、Internet程式設計師
、通訊軟體工程師","月薪38,000~48,000元",無需出差外派
https://www.104.com.tw/job/6ls42?jobsource=joblist_search,"軟體開發工程師(C,C++)(二)","如果你~ 對撰寫程式充滿熱情
如果你~ 對接受挑戰樂此不疲
如果你~ 對開發產品充滿想法與創意
如果你~ 希望生活更加多采多姿

不要猶豫，加入我們的團隊，在充滿挑戰與激情的未來裡，
真誠的希望你會成為我們重要的夥伴，一起航向偉大的航道吧

<職務內容>
1. 開發、維護跨平台整合服務系統
2. 開發、維護 Server/Client 架構程式、使用者介面、報表、資料庫等
3. 開發、維護管理系統與遊戲機台間的通訊介面
4. 需熟悉 Winsocket, TCP/IP 通訊協定及網路整合概念及應用
5. 國內外參展或協助國外賭場安裝系統

<職務要求>
1. 軟體設計及開發
2. 客戶需求分析與系統規劃
3. 熟悉SQL Server效能調校者優先錄取

<使用工具>
1. C++
2. MS SQL,●C, C++程式開發經驗3年以上.
●擁有開發程式的熱忱並願意多方嘗試，而非侷限於技術
●做事追根究底，重視團隊合作
●肯學肯問，對博弈產業有興趣者,C++、MS SQL、TCP/IP
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計、網路程式設計","軟體工程師
、資料庫管理人員
、通訊軟體工程師","月薪50,000~70,000元",無需出差外派
https://www.104.com.tw/job/8jz5v?jobsource=joblist_search,網路傳輸工程師(烏日基地),"1.各項核心網路傳輸次系統相關新增、變更或改善案件創新研發技術執行、監督作業及契約履約相關工作。
2.辦理核心網路傳輸系統工程合約之執行、介面排程協調、安裝檢查及測試驗收等相關作業。包含設計審查、外部介面協調工作、施工與測試之檢查及進度管控等作業。
3.執行核心通訊系統形態之完整性，因應各項變更作業修繕及更新相關竣工圖說及管制文件。
4.配合其他工程單位之機電系統設備擴建、改善或調整專案，協助提供核心通訊系統變更需求，辦理相關評估作業。
5.配合政府監管單位執行核心通訊系統定期與不定期間查核作業。
6.配合營運與維修單位，提供相關事件、事故之調查及改善案之技術支援建議，及配合法務單位執行單位內法令盤點與管控。
7.審查專案職安衛管理計畫，監督或檢核承攬商之各項安全衛生實施作業。
8.其他由主管交付之專案、計畫或臨時業務事項。,1.具2年以上核心機電相關系統工程技術專案履約、監工、設計文件/安裝/竣工圖說審查、安裝測試參與、驗收或系統維修等工作經驗。
2.熟悉工程專案管理作業與一般採購合約流程與管理。
3.熟悉鐵路核心機電系統與其他之介面關係。
4.了解鐵路營運概觀、維生安全與運轉規則。
5.具備電子系統架構概念、網路資訊系統概念或通訊系統架構/種類等專業知識。
6.熟悉軌道運輸通訊系統相關子系統包括:自動電話 AT、直線電話 DLT、數據傳輸及幹線光纖系統 DTS、無線電 Radio、旅客資訊顯示 PIS、公共廣播 PA、閉路電視 CCTV、子母鐘 TDS、場站設施監控 PMC、通信不斷電 UPS 、通信控制台 CC等次系統。
7. 本職務為常日班，惟配合營運改善與新增工程等因素，可能偶有夜間現場工作。惟須視實際作業需要，不定期至現場進行查勘。
8.本職務須接觸大量之英文技術文件、需與國外包商以英文協調相關技術事宜了解網路通訊傳輸系統基礎理論。
9.具備職業安全衛生管理人員、通訊技術相關證照尤佳
10.本職缺需至台北總公司面試。,不拘,不拘","網路管理工程師
、通訊軟體工程師","月薪50,000元以上",需出差，一年累積時間未定
https://www.104.com.tw/job/8dq8l?jobsource=joblist_search,iOS Android 工程師,"iOS程式設計

Android程式設計

前端程式設計

後端程式設計

資料庫設計 (佳)

伺服器架設 (佳),不拘,Android、iOS、Objective-C、SWIFT、Kotlin、MySQL、JavaScript、Node.js
提升專業能力
提升專業能力,不拘","Android工程師
、iOS工程師
、通訊軟體工程師","月薪48,000元以上",無需出差外派
https://www.104.com.tw/job/8axv7?jobsource=joblist_search,軟體設計工程師,"1.負責軟體之分析、設計以及程式撰寫
2.規劃執行軟體架構及模組之設計，並控管軟體設計進度進行軟體之測試與修改
3.協助研發軟體新技術新工具
4.管控軟體開發成本
5.監控系統維運狀態，協助客戶系統狀況排除
6.分析測試資料、釐清問題、提出改善建議，並撰寫測試報告
7.配合公司出差
8.主管交辦事項,未填寫,不拘,不拘","軟體工程師
、通訊軟體工程師
、CAD／CAM工程師",待遇面議,需出差，一年累積時間未定
https://www.104.com.tw/job/85n9z?jobsource=joblist_search,軟體開發工程師-1,"1.執行前台網頁程式開發、維護、系統UI/UX規劃，並能依照客戶與軟體需求，執行工廠端資訊(ERP, WMS)串接整合以及後台API開發設計 
2.熟悉 HTML / CSS ，並能撰寫 javascript
3.熟悉Git (Git Flow) 版本控制
4.REST API 串接，熟悉前後端分離、網路結構等相關概念
5.具NoSQL(MongoDB)開發經驗
《加分項目》 
1.具有MES或相關工廠管理軟體開發或整合經驗者佳
2.具有 Vue.js、React.js 使用經驗佳。 
3.具有Docker與K8S容器部屬經驗佳
4.具有前端網頁切版並介接後端功能經驗佳。
5.具有ASP.NET Core 開發經驗佳
《挑戰》 
1.對於不同產業領域，能夠快速理解使用者情境以及需求，提供可實作之解決方案。 
2.系統架構：需負責系統之分析、設計、程式撰寫，含前後端系統架構與資料管理，並提供API 與其他系統串接。,不拘,Github、C#、JavaScript、Node.js、ReactJS、VueJS
提升專業能力
提升專業能力,不拘","軟體工程師
、通訊軟體工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/7pmdr?jobsource=joblist_search,APP開發人員,"1. Android APP軟體之分析、設計、程式撰寫與上架
2. 功能測試與技術文件撰寫
3. 擅長工具：JAVA、Kotlin
4. 工作技能：
熟悉並操作使用Android Studio、Android SDK
熟悉SQL語法,不拘,C#、Java、MS SQL、JavaScript
提升專業能力
提升專業能力,系統架構規劃、軟體程式設計、資料庫程式設計、資料庫軟體應用","軟體工程師
、通訊軟體工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8ixa0?jobsource=joblist_search,全端軟體工程師_台中,"1. 負責規劃、執行與維護公司現有專案，並與團隊合作進行開發工作。
2. 負責開發新的雲端系統，涵蓋飯店、物業及門禁管理。
3. 開發技術文件撰寫與維護。
4. 主管交辦事項。,不拘,Linux、C#、C++.Net、Angular、Excel、Word
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計、模組化系統設計、資料庫程式設計","軟體工程師
、通訊軟體工程師
、Internet程式設計師",待遇面議,無需出差外派
https://www.104.com.tw/job/7h2z1?jobsource=joblist_search,Embedded Software Engineer 資深軟體工程師 -台中,"工作內容： 
The Software Engineer will develop software platforms of signaling protocols and voice/video signal processing (softDSP) functionality for VoIP, Video/V2oIP, Voice over LTE complete software solution to Mobile terminals and Networking CPE devices such as gateway, router, IAD, and mobile devices. As a critical part of supporting sales team, this is a dynamic role that ranges from direct technical customer support, developing new software features, IOT activities, to customer technical supports, discussions and demos with some independent customer engagement.

*Strong with C programming language for embedded system
*Strong with embedded system o/s: Linux, VxWorks, Threadx or more
*Strong with TCP/IP networking technologies 
*Familiar with 3GPP/IMS stack protocol is a plus
*Familiar with WiFi/LTE CPE-Gateway/Router product 
*Familiar with Java or C++ programming is a plus
*Provide direct support for customer and partner engagements,- MS CS/EE or BS CS/EE degree
- Over 3+ yr embedded system development/programming experience.
- Strong in embedded system development with C and Assembly programming
- Strong with Linux, VxWorks, Nucleus or other RTOS 
- Strong with TCP/IP networking technologies & protocols
- Familiar with Computer Networking/Router technologies 
- Familiar with 3GPP networks and IMS stack protocol is a Plus,不拘,不拘","通訊軟體工程師
、軟體工程師
、韌體工程師",待遇面議,需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/5fbmv?jobsource=joblist_search,【永慶北平】找想轉換跑道的業務員,"轉換行業，是冒險？是機會？

很少人會知道，選擇一份事業，不應考慮工作好不好做、輕不輕鬆，而是該考量在工作的過程中，它將為你人生帶來怎麼樣的價值？當你做出了選擇，下一個該評估的，則是你將遇到具備哪些特質的主管（老師）和團隊氛圍？

公司設置新人底薪，非常重視教育訓練，非常非常重視，可以保證您來到陌生的環境，
不會不知所措，有課程、有店長、有師徒、有方向，讓您打造非凡人生。
我們重視的理念，希望你來一起打拼
1. 我們重視公平、友善、團隊合作、工作氛圍，沒有一般仲介業的勾心鬥角
2. 誠信作業，不用擔心被逼迫要欺騙客戶，欺騙同事
3. 每一個步驟的教學、功課、實戰、實際案例研討，不會沒人理你不會有老鳥欺負
4. 熱情、積極、友善、團隊合作、溝通、誠信.......歡迎你的加入

1.本公司執行協理，原本在電子業工作，轉職後，新人前9個月累積成交總房價超過
6000萬，2年後創業，打造永慶不動產北平店，創造中區店業績第6名。
2.公司有位男同事，本來是蓋房子的工班，加入本公司首年，
累積成交房價將近4000萬。
3.公司有位女同事，本來是藥局的櫃檯小姐，加入本公司首年，
累積成交房價將近3000萬。
4.公司有位新人，本來從事賣衣服行業，初加入2個月，月月成交。
5. 隨著累積之後，第二年第三年，有人達到年薪將近200萬
6. 下一個就是你....

回顧過去2021年至10月，永慶北平店交出了一份亮眼的成績單
1. 成交超過190個案子，協助超過190個家庭找到幸福。
2. 業績4200萬，等於成交房屋總價超過10億5千6百8拾3萬.....。
3. 公司平均每月成交19間房子，每月超過7成的同仁成交，績效大幅勝過同業。
4. 永慶北平捷運加盟店平均每月成交業績超越中區平均店績效近2倍。
..........

工作內容
1. 為他人找到幸福、實現購屋成家的夢想。
2. 提供不動產買賣仲介服務
3. 你/妳的工作還包括了學習與成長
4. 你/妳的工作還包括了分享與教導
5. 提供感動式不動產買賣仲介服務
6. 提供專業在地感動式不動產生涯規劃仲介服務,未填寫,Internet Explorer、PowerPoint、Word
提升專業能力
提升專業能力,顧客關係管理、客戶資料更新維護、業務或通路開發、業績目標分配與績效達成、業績與管理報表撰寫、廣告業務銷售能力、客戶情報蒐集、產品介紹及解說銷售","通訊軟體工程師
、網路管理工程師
、業務支援工程師","月薪33,000~200,000元",無需出差外派
https://www.104.com.tw/job/2s06v?jobsource=joblist_search,電控工程師,"1. 負責PLC程式撰寫、人機介面軟體撰寫、自動控制迴路設計、專案研發、機構試車、電控箱規劃及電控維修、ERP系統操作；
2. 產品電子電路設計與開發、系統規劃、系統配線、電機線路規劃設計；
3. 樣品組裝, 測試, 產品優化；
4. 機械配線、配盤、配電組裝、識電路圖、配電相關經驗者佳；
5. 電控設備、自動控制與自動化系統等線路配設，系統試車測試，電控系統故障查修、維修電機設備，並定期保養。

這個職位是公司中非常重要的一個角色，將負責製造和維護我們設計的電子和自動控制系統。這個職位有著很好的發展前景，因為我們公司在電子製造和自動化領域取得了長足的進展，未來還有更多的發展機會。
如果您擁有上述所需的技能和經驗，並且想要加入我們的團隊，請立即申請並表達您對這個職位的興趣！,不拘,PLC
提升專業能力
提升專業能力,軟體程式設計、自動化系統設計整合","自動控制工程師
、通訊軟體工程師
、機電技師／工程師","月薪35,000~70,000元",無需出差外派
https://www.104.com.tw/job/8jz5w?jobsource=joblist_search,話務系統通訊工程師(烏日基地),"1.各項核心話務/交換機次系統相關新增、變更或改善案件創新研發技術執行、監督作業及契約履約相關工作。
2.辦理核心網路傳輸系統工程合約之執行、介面排程協調、安裝檢查及測試驗收等相關作業。包含設計審查、外部介面協調工作、施工與測試之檢查及進度管控等作業。
3.執行核心通訊系統形態之完整性，因應各項變更作業修繕及更新相關竣工圖說及管制文件。
4.配合其他工程單位之機電系統設備擴建、改善或調整專案，協助提供核心通訊系統變更需求，辦理相關評估作業。
5.配合政府監管單位執行核心通訊系統定期與不定期間查核作業。
6.配合營運與維修單位，提供相關事件、事故之調查及改善案之技術支援建議，及配合法務單位執行單位內法令盤點與管控。
7.審查專案職安衛管理計畫，監督或檢核承攬商之各項安全衛生實施作業。
8.其他由主管交付之專案、計畫或臨時業務事項。,1.具2年以上核心機電相關系統工程技術專案履約、監工、設計文件/安裝/竣工圖說審查、安裝測試參與、驗收或系統維修等工作經驗。
2.熟悉工程專案管理作業與一般採購合約流程與管理。
3.熟悉鐵路核心機電系統與其他之介面關係。
4.了解鐵路營運概觀、維生安全與運轉規則。
5.具備電子系統架構概念、網路資訊系統概念或通訊系統架構/種類等專業知識。
6.熟悉軌道運輸通訊系統相關子系統包括:自動電話 AT、直線電話 DLT、數據傳輸及幹線光纖系統 DTS、無線電 Radio、旅客資訊顯示 PIS、公共廣播 PA、閉路電視 CCTV、子母鐘 TDS、場站設施監控 PMC、通信不斷電 UPS 、通信控制台 CC等次系統。
7. 本職務為常日班，惟配合營運改善與新增工程等因素，可能偶有夜間現場工作。惟須視實際作業需要，不定期至現場進行查勘。
8.本職務須接觸大量之英文技術文件、需與國外包商以英文協調相關技術事宜了解網路通訊傳輸系統基礎理論。
9.具備職業安全衛生管理人員、通訊技術相關證照尤佳
10.本職缺需至台北總公司面試。,不拘,不拘","網路管理工程師
、通訊軟體工程師","月薪50,000元以上",需出差，一年累積時間未定
https://www.104.com.tw/job/834d1?jobsource=joblist_search,電聲產品-軟體設計資深工程師(台中),"1. Charging case FW development.
2. Earbud/charging case PLC communication development, validation and debugging.
3. Earbud application project maintain and development.
4. Headset application platform development.,1. 4 years experience with embedded design for software programming.
2. Embedded Firmware programming with C language is required.
3. Positive attitude to fulfill project schedule with software quality and team work experience.
4. Business trip is required for project.,不拘,不拘","通訊軟體工程師
、軟體工程師
、韌體工程師",待遇面議,需出差，一年累積時間約三個月以下
https://www.104.com.tw/job/8lcvz?jobsource=joblist_search,電源產品-軔體/軟體設計高級工程師(台中),"1. 撰寫電源(電池)產品韌體
2. MCU周邊硬體線路設計及腳位規劃
3. 撰寫韌體規格書、韌體測試文件,1.具ARM 32bit USB Type-C控制器PD3.0+、QC4.0+、SCP、FCP、AFC協議開發經驗
2.可獨立完成韌體開發
3.熟C語言
4.熟基本電學、電子學,不拘,不拘","韌體工程師
、軟體工程師
、通訊軟體工程師",待遇面議,需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/7h2yi?jobsource=joblist_search,軟體研發工程師 - New Graduate 畢業生 (台中),"D2 Technologies 美商迪爾亞科技在台分公司誠摯邀請您加入!
工作內容(歡迎畢業生): 
1. Software Development in Embedded Linux system and other Realtime O/S
2. VoNR (5G), Voice over LTE (4G) and VoIP 軟體開發
3. 驅動程式開發與維護 (PCM, SLIC, SPI, GPIO, DMA, ...)
4. 移植軟體至不同的平台 (ARM, MIPS, x86)
5. SIP protocol stack 主要開發與維護
6. 其他 3GPP and IETF protocol 開發與維護
6. Interoperability testing with SIP or IMS server(RFC 3261, 3GPP 24.229, 34.229...),1. 熟悉 C 語言者尤佳
2. 有 Linux 和 Computer Networking 開發經驗者尤佳,Linux、C、C++、IMS、Socket、TCP/IP、VoIP、ARM
提升專業能力
提升專業能力,軟體程式設計、韌體程式設計、網路程式設計","軟體工程師
、通訊軟體工程師
、韌體工程師",待遇面議,需出差，一年累積時間約一個月以下
https://www.104.com.tw/job/82ol6?jobsource=joblist_search,APP設計助理/開發工程師助理,"APP開發維護
軟體： 熟Android/iOS(Objective-C/Swift...) SDK、JAVA
web前端： javascript、CSS、json、PHP 或懂 jQuery、AJAX.
其他基本：Linux基本知識、MySQL
熟悉維護電腦系統效能，維持其系統正常運作及除錯。
懂網站系統架構維護與更新
懂網站系統開發語言程式設計(PHP. ASP. NET. HTML5. Javascript. JQuery. Ajax)
熟悉資訊網路系統
資訊設備管理,未填寫,Linux、Mac OS、OS X、Android、iOS、C#、Java、PHP、Objective-C、SWIFT、HTML、JavaScript
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、網路程式設計、網路系統配置、網路應用軟體操作、電子產品系統測試、基礎數位電路、基礎類比電路","通訊軟體工程師
、韌體工程師
、軟體工程師","月薪35,000~42,000元",無需出差外派
https://www.104.com.tw/job/8nmse?jobsource=joblist_search,[台中]Java軟體工程師,"【工作內容】
1.碩網內部產品專案客制化需求開發。 
2.與外部系統整合如 Line 、FB臉書或客戶系統資料串接 Webservice、Socket、RESTful-API等。,不拘,Java、MS SQL、HTML、J2EE
提升專業能力
提升專業能力,不拘","軟體工程師
、Internet程式設計師
、通訊軟體工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8h3mb?jobsource=joblist_search,Android工程師,"本公司為無人機開發製造公司，Android系統在無人機地面站的開發中扮演關鍵角色，我們正在尋找專業的Android工程師，優化無人機地面站應用，提升操作體驗！如果你擅長Android底層開發、UI設計、應用最佳化，這將是個充滿成長機會的職位！
主要工作內容：
1. Android APP開發，打造流暢、直覺的無人機操控介面
2. 最佳化無人機地面站系統，提升效能與穩定性
3. Android UI設計與排版，確保最佳的使用者體驗
4. Android底層開發，整合無人機系統與關鍵功能
5. 需配合外派或短期出差（依專案需求），提供相關補助
必備技能
1. 熟悉Java，具備Android開發經驗
2. 熟悉Android UI設計，能優化操作介面與使用體驗
3. 熟悉Android底層開發，能進行系統最佳化與效能調校
4. 對無人機技術有興趣，樂於挑戰新技術，提升系統應用,不拘,Android、Java
提升專業能力
提升專業能力,系統架構規劃、軟體工程系統開發、軟體程式設計、資料庫程式設計","Android工程師
、iOS工程師
、通訊軟體工程師","月薪60,000~80,000元",需出差外派，一年累積時間未定
https://www.104.com.tw/job/8kq7b?jobsource=joblist_search,圖控軟體工程師,"1.負責機聯網 .能源管理相關專案圖控軟體之設計以及程式撰寫。
2.自動控制設備系統開發及程式規劃。
3.能配合公司的政策,具團隊精神。
4. 工作技能：
（1） 電腦與控制器(PLC.溫度表.各式電表...) 通訊連線程式設計與測試。
（2） 熟任一品牌圖控軟體.或C# 者尤佳.。
（3） 工業網路通訊（Serial Com, Modbus, TCP/IP…)。,不拘,不拘,不拘","自動控制工程師
、軟體工程師
、通訊軟體工程師","月薪45,000~55,000元",無需出差外派
https://www.104.com.tw/job/8k8pj?jobsource=joblist_search,【2025研發替代役/預聘】軟體設計工程師(台中),"1.軟體設計與文件維護
2.通訊協議驗證與除錯
3.產品功能驗證,歡迎所有求職者，與應屆畢業生、日間就讀中、研發替代役等,不拘,不拘","軟體工程師
、軟體助理工程師
、通訊軟體工程師",待遇面議,需出差，一年累積時間約三個月以下
https://www.104.com.tw/job/6b0mq?jobsource=joblist_search,機器人軟體開發工程師,"1.開發機器人操作介面。 
2.軟體測試。 
3.熟悉Visual C#。,不拘,Visual C#
提升專業能力
提升專業能力,軟體工程系統開發、功能測試(function test)","軟體工程師
、通訊軟體工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/7raj8?jobsource=joblist_search,APP設計助理/開發工程師助理,"APP開發維護 
軟體： 熟Android/iOS(Objective-C/Swift...) SDK、JAVA 
web前端： javascript、CSS、json、PHP 或懂 jQuery、AJAX. 
其他基本：Linux基本知識、MySQL 
熟悉維護電腦系統效能，維持其系統正常運作及除錯。
懂網站系統架構維護與更新
懂網站系統開發語言程式設計(PHP. ASP. NET. HTML5. Javascript. JQuery. Ajax)
熟悉資訊網路系統
資訊設備管理,Linux、Mac OS、OS X、Android、iOS、C#、Java、PHP、Objective-C、SWIFT、HTML、JavaScript
提升專業能力
提升專業能力,軟體工程系統開發、軟體程式設計、網路程式設計、網路系統配置、網路應用軟體操作、電子產品系統測試、基礎數位電路、基礎類比電路","通訊軟體工程師
、韌體工程師
、軟體工程師","月薪35,000~50,000元",無需出差外派
https://www.104.com.tw/job/8967m?jobsource=joblist_search,(研發部系統發展組)軟體工程師 (中部),"1. 參與需求分析、詳細設計、項目實作及測試以及撰寫相關技術文檔。
2. 能配合專案時程與項目需求，完成各項任務。
3. 能配合團隊溝通與開發，能在職務內獨立作業。
4. 配電圖資、資料庫建置及測試。
5. 客戶軟體 bug 的分析與測試。,1. 工作細心，有責任感 ，能接受重複性高的測試工作。
2. 具備良好邏輯能力，樂於學習與接受新知。
3. 主動、積極且能融入團隊文化，重視團隊合作，願意與人溝通、分享。
4. 熟悉文書軟體操作、電腦資訊、Linux者尤佳。,Windows 7、Windows 10、C#、C++、MFC、MS SQL、Oracle、PostgreSQL
提升專業能力
提升專業能力,不拘","軟體工程師
、通訊軟體工程師
、電信／通訊系統工程師","月薪34,000~40,000元",需出差，一年累積時間未定
https://www.104.com.tw/job/4plsq?jobsource=joblist_search,Android APP 開發工程師,"1. 具備 Android(Java 或 Kotlin) APP 開發經驗
2. 具備軟體測試基本概念,不拘,不拘,不拘","通訊軟體工程師
、軟體工程師
、Internet程式設計師","月薪35,000元以上",無需出差外派
https://www.104.com.tw/job/7mo7l?jobsource=joblist_search,『台中』【工業物聯網】–軟體工程師,"職務內容-
1. Embedded Linux驅動程式開發,系統整合與移植 
2. OpenWrt系統整合開發 
3.符合IEC 62443-4-2的工業網路和系統安全的軟體開發
4. Wi-Fi模組的導入,與效能的優化 
5. 5G-NR/4G模組的導入,與效能的優化
6.建構SDK軟體開發平台


產品應用-
1. Industrial 5G-NR/4G Cellular Router/Gateway 
2. LPWAN M2M Device 
3. Industrial Wi-Fi AP/Client 
4. Remote I/O and legacy Industrial communication products
5. Industrial computing – SDK platform,不拘,不拘,不拘","軟體工程師
、通訊軟體工程師
、韌體工程師",待遇面議,無需出差外派
https://www.104.com.tw/job/8he6l?jobsource=joblist_search,C#全端軟體工程師,"1. 負責軟體之分析、設計以及程式撰寫。
2. 規劃執行軟體架構及模組之設計，並控管軟體設計進度。
3. 進行軟體之測試與修改。
4. 規劃、執行與維護量產的產品。
5. 協助研發軟體新技術與新工具。
6. 管控軟體開發成本。,不拘,C#
提升專業能力
提升專業能力,軟體程式設計","軟體工程師
、Internet程式設計師
、通訊軟體工程師","月薪36,000~60,000元",需外派，一年累積時間未定
https://www.104.com.tw/job/8ka7i?jobsource=joblist_search,軟體工程師,"1.熟JavaScript/CSS，具jquery/typescript/ES6/bootstrap框架佳
2.熟C# .NET MVC佳
3.具Cordova或ionic開發經驗者佳,不拘,AJAX、ASP.NET、C#、Visual Studio、JavaScript、jQuery、CSS
提升專業能力
提升專業能力,系統整合分析、軟體程式設計、資料庫程式設計","軟體工程師
、Internet程式設計師
、通訊軟體工程師","月薪40,000元以上",無需出差外派
